Gmt time,Open,High,Low,Close,Volume
07.03.2022 00:00:00.000,38375,39563,37119,37979,1510.6475
08.03.2022 00:00:00.000,37958,39318,37837,38701,1686.162
09.03.2022 00:00:00.000,38690,42587,38617,41902,1449.5533
10.03.2022 00:00:00.000,41904,41996,38556,39389,1283.2417
11.03.2022 00:00:00.000,39387,40205,38190,38675,1585.7264
12.03.2022 00:00:00.000,38675,39402,38614,39110,1099.242
13.03.2022 00:00:00.000,38859,39254,37548,37731,1069.294
14.03.2022 00:00:00.000,37731,39856,37528,39648,1360.1691
15.03.2022 00:00:00.000,39648,39861,38189,39251,1011.5592
16.03.2022 00:00:00.000,39247,41643,38877,41074,1452.6019
17.03.2022 00:00:00.000,41068,41418,40500,40885,991.8289
18.03.2022 00:00:00.000,40883,42347,40144,41716,994.2803
19.03.2022 00:00:00.000,41716,42402,41481,42168,984.866
20.03.2022 00:00:00.000,42168,42251,40882,41219,1247.3266
21.03.2022 00:00:00.000,41216,41505,40481,40986,911.5162
22.03.2022 00:00:00.000,40986,43270,40903,42317,1162.4022
23.03.2022 00:00:00.000,42318,42962,41724,42848,976.0303
24.03.2022 00:00:00.000,42848,44266,42596,43950,1192.1
25.03.2022 00:00:00.000,43950,45116,43560,44271,1054.6062
26.03.2022 00:00:00.000,44271,44630,44049,44484,380.4901
27.03.2022 00:00:00.000,44485,46962,44391,46872,686.018
28.03.2022 00:00:00.000,46806,48229,46627,47082,762.0667
29.03.2022 00:00:00.000,47070,48130,46947,47394,1158.641
30.03.2022 00:00:00.000,47394,47735,46541,47013,1127.931
31.03.2022 00:00:00.000,47013,47645,45274,45478,1035.9641
01.04.2022 00:00:00.000,45476,46660,44196,46237,779.0179
02.04.2022 00:00:00.000,46237,47154,45601,45825,564.1078
03.04.2022 00:00:00.000,45825,47452,45516,46364,839.6607
04.04.2022 00:00:00.000,46364,46834,45109,46547,1159.5558
05.04.2022 00:00:00.000,46544,47213,45366,45449,816.8049
06.04.2022 00:00:00.000,45449,45465,43094,43139,1065.7921
07.04.2022 00:00:00.000,43139,43932,42719,43410,743.0375
08.04.2022 00:00:00.000,43402,43997,42052,42255,825.2053
09.04.2022 00:00:00.000,42255,42760,42108,42724,570.6484
10.04.2022 00:00:00.000,42725,43453,41865,42114,588.4977
11.04.2022 00:00:00.000,42116,42383,39244,39483,831.8197
12.04.2022 00:00:00.000,39483,40659,39258,40039,767.3527
13.04.2022 00:00:00.000,40049,41544,39547,41102,645.6663
14.04.2022 00:00:00.000,41106,41451,39535,39889,782.2698
15.04.2022 00:00:00.000,39884,40795,39725,40490,692.049
16.04.2022 00:00:00.000,40498,40642,39971,40341,778.656
17.04.2022 00:00:00.000,40346,40552,39519,39644,641.492
18.04.2022 00:00:00.000,39646,41023,38515,40760,632.2123
19.04.2022 00:00:00.000,40761,41698,40540,41448,654.4402
20.04.2022 00:00:00.000,41447,42153,40872,41324,776.12
21.04.2022 00:00:00.000,41318,42990,39761,40522,543.2353
22.04.2022 00:00:00.000,40522,40739,39147,39647,885.9091
23.04.2022 00:00:00.000,39647,39930,39231,39401,1005.5389
24.04.2022 00:00:00.000,39401,39896,38994,39458,728.0362
25.04.2022 00:00:00.000,39458,40542,38177,40393,973.5117
26.04.2022 00:00:00.000,40392,40742,37694,38072,944.2973
27.04.2022 00:00:00.000,38072,39418,37847,39206,972.2915
28.04.2022 00:00:00.000,39204,40407,38848,39703,937.0319
29.04.2022 00:00:00.000,39702,39879,38141,38528,878.5688
30.04.2022 00:00:00.000,38528,38796,37568,37597,692.2597
01.05.2022 00:00:00.000,37599,38618,37380,38434,848.1101
02.05.2022 00:00:00.000,38433,39121,38081,38474,1008.4476
03.05.2022 00:00:00.000,38474,38679,37488,37689,616.4292
04.05.2022 00:00:00.000,37683,39969,37629,39645,1071.2483
05.05.2022 00:00:00.000,39645,39784,35549,36508,1164.595
06.05.2022 00:00:00.000,36504,36622,35248,35935,1591.8607
07.05.2022 00:00:00.000,35937,36061,34801,35432,1232.249
08.05.2022 00:00:00.000,35432,35464,33711,33998,1491.366
09.05.2022 00:00:00.000,33998,34196,29991,30040,1719.3142
10.05.2022 00:00:00.000,30047,32607,29777,30970,1998.106
11.05.2022 00:00:00.000,30970,32111,27661,28931,3499.3639
12.05.2022 00:00:00.000,28931,30113,25340,28895,2363.508
13.05.2022 00:00:00.000,28895,30927,28639,29167,1475.0471
14.05.2022 00:00:00.000,29167,30223,28512,29981,1928.4155
15.05.2022 00:00:00.000,29981,31380,29381,31246,1287.4428
16.05.2022 00:00:00.000,31245,31246,29040,29781,1645.4706
17.05.2022 00:00:00.000,29784,30741,29380,30367,1554.8004
18.05.2022 00:00:00.000,30367,30626,28562,28625,1703.6752
19.05.2022 00:00:00.000,28625,30454,28608,30240,1853.1331
20.05.2022 00:00:00.000,30240,30679,28652,29091,1854.5249
21.05.2022 00:00:00.000,29091,29549,28850,29363,1130.0271
22.05.2022 00:00:00.000,29364,30406,29177,30217,1479.4827
23.05.2022 00:00:00.000,30216,30665,28793,29017,1712.3549
24.05.2022 00:00:00.000,29016,29753,28587,29571,886.8005
25.05.2022 00:00:00.000,29571,30121,29257,29450,895.7981
26.05.2022 00:00:00.000,29450,29786,27947,29115,1325.165
27.05.2022 00:00:00.000,29114,29365,28192,28535,1508.8921
28.05.2022 00:00:00.000,28535,29175,28435,28945,1275.316
29.05.2022 00:00:00.000,28948,29492,28753,29391,1421.008
30.05.2022 00:00:00.000,29391,32126,29218,31655,946.0503
31.05.2022 00:00:00.000,31656,32418,31154,31719,766.028
01.06.2022 00:00:00.000,31719,31907,29254,29728,1033.6241
02.06.2022 00:00:00.000,29726,30597,29517,30370,827.3706
03.06.2022 00:00:00.000,30370,30609,29265,29606,1027.5995
04.06.2022 00:00:00.000,29608,29995,29454,29778,1068.4603
05.06.2022 00:00:00.000,29778,30111,29454,29841,1684.707
06.06.2022 00:00:00.000,29840,31673,29801,31288,1184.3613
07.06.2022 00:00:00.000,31287,31502,29152,31064,1603.615
08.06.2022 00:00:00.000,31064,31261,29796,30141,2304.8019
09.06.2022 00:00:00.000,30140,30639,29884,30040,2090.719
10.06.2022 00:00:00.000,30039,30290,28791,28998,2178.89
11.06.2022 00:00:00.000,28998,29346,28053,28349,1824.221
12.06.2022 00:00:00.000,28351,28470,26492,26510,2351.058
13.06.2022 00:00:00.000,26507,26804,21883,22414,2836.5149
14.06.2022 00:00:00.000,22414,23235,20781,22072,2823.7259
15.06.2022 00:00:00.000,22072,22720,20037,22519,2651.5031
16.06.2022 00:00:00.000,22503,22914,20164,20330,2551.3561
17.06.2022 00:00:00.000,20329,21287,20184,20383,2593.7309
18.06.2022 00:00:00.000,20384,20685,17520,18915,3018.0819
19.06.2022 00:00:00.000,18914,20739,17902,20513,2666.1
20.06.2022 00:00:00.000,20511,20996,19582,20517,2634.5291
21.06.2022 00:00:00.000,20519,21655,20301,20662,2491.9169
22.06.2022 00:00:00.000,20661,20825,19718,19927,2459.5909
23.06.2022 00:00:00.000,19926,21159,19835,21053,2329.704
24.06.2022 00:00:00.000,21053,21473,20686,21159,2399.929
25.06.2022 00:00:00.000,21159,21545,20864,21440,1964.98
26.06.2022 00:00:00.000,21440,21823,20902,20996,1872.92
27.06.2022 00:00:00.000,20994,21469,20472,20686,2016.7129
28.06.2022 00:00:00.000,20686,21156,20146,20221,2200.8319
29.06.2022 00:00:00.000,20222,20369,19805,20063,2187.8099
30.06.2022 00:00:00.000,20064,20110,18591,19921,2227.217
01.07.2022 00:00:00.000,19908,20830,18917,19182,2410.0139
02.07.2022 00:00:00.000,19188,19357,18897,19192,1442.673
03.07.2022 00:00:00.000,19190,19588,18738,19259,1773.981
04.07.2022 00:00:00.000,19258,20284,19000,20177,1999.635
05.07.2022 00:00:00.000,20176,20687,19251,20127,2239.3739
06.07.2022 00:00:00.000,20126,20617,19715,20506,2312.181
07.07.2022 00:00:00.000,20506,21792,20215,21574,2114.8281
08.07.2022 00:00:00.000,21575,22424,21146,21517,2407.0151
09.07.2022 00:00:00.000,21517,21917,21279,21540,1970.422
10.07.2022 00:00:00.000,21541,21553,20619,20809,2226.197
11.07.2022 00:00:00.000,20811,20814,19834,19908,3112.8831
12.07.2022 00:00:00.000,19908,20001,19195,19273,2439.002
13.07.2022 00:00:00.000,19273,20290,18877,20187,2530.611
14.07.2022 00:00:00.000,20187,20844,19587,20541,3277.951
15.07.2022 00:00:00.000,20541,21145,20337,20763,2333.498
16.07.2022 00:00:00.000,20763,21537,20412,21158,1964.28
17.07.2022 00:00:00.000,21156,21612,20716,20754,2044.193
18.07.2022 00:00:00.000,20754,22735,20726,22407,1979.792
19.07.2022 00:00:00.000,22407,23753,21550,23364,1823.7261
20.07.2022 00:00:00.000,23364,24240,22891,23185,1718.071
21.07.2022 00:00:00.000,23182,23385,22310,23117,1524.271
22.07.2022 00:00:00.000,23117,23719,22475,22623,1745.973
23.07.2022 00:00:00.000,22623,22940,21912,22411,1930.372
24.07.2022 00:00:00.000,22411,22970,22231,22548,2120.4751
25.07.2022 00:00:00.000,22545,22624,21228,21267,1657.023
26.07.2022 00:00:00.000,21267,21299,20691,21225,1436.318
27.07.2022 00:00:00.000,21225,23062,21012,22924,1426.154
28.07.2022 00:00:00.000,22924,24156,22556,23817,1728.824
29.07.2022 00:00:00.000,23817,24398,23413,23724,1811.291
30.07.2022 00:00:00.000,23724,24598,23483,23604,1543.005
31.07.2022 00:00:00.000,23604,24150,23197,23273,1836.561
01.08.2022 00:00:00.000,23271,23463,22828,23243,1489.621
02.08.2022 00:00:00.000,23243,23409,22632,22954,1850.723
03.08.2022 00:00:00.000,22955,23597,22662,22793,1767.8601
04.08.2022 00:00:00.000,22793,23188,22373,22585,1765.795
05.08.2022 00:00:00.000,22585,23425,22557,23256,1919.583
06.08.2022 00:00:00.000,23256,23292,22883,22916,1850.67
07.08.2022 00:00:00.000,22916,23341,22813,23141,1539.6841
08.08.2022 00:00:00.000,23142,24204,23125,23781,1251.356
09.08.2022 00:00:00.000,23780,23881,22850,23120,1456.929
10.08.2022 00:00:00.000,23120,24176,22643,23918,1643.278
11.08.2022 00:00:00.000,23919,24866,23831,23905,2421.067
12.08.2022 00:00:00.000,23905,24399,23572,24350,2306.309
13.08.2022 00:00:00.000,24352,24834,24265,24406,1914.464
14.08.2022 00:00:00.000,24406,24991,24115,24272,1723.466
15.08.2022 00:00:00.000,24274,25166,23748,24064,1416.298
16.08.2022 00:00:00.000,24063,24206,23636,23820,1467.66
17.08.2022 00:00:00.000,23819,24397,23153,23301,1427.7874
18.08.2022 00:00:00.000,23301,23554,23078,23156,1185.4219
19.08.2022 00:00:00.000,23156,23165,20723,20770,1938.8371
20.08.2022 00:00:00.000,20774,21310,20729,21099,2109.4019
21.08.2022 00:00:00.000,21099,21741,21033,21478,1655.6031
22.08.2022 00:00:00.000,21478,21485,20867,21370,892.4041
23.08.2022 00:00:00.000,21370,21638,20865,21488,861.8172
